BUA22CD,BUA22NM,BUA22NMW,BUA22NMG,BNG_E,BNG_N,LONG,LAT,OBJECTID,Shape__Area,Shape__Length
E63000164,Thursby, , ,332567.6033,550138.2397,-3.051528877,54.84149806,164,347500,4850
E63000165,Fence Houses, , ,432122.4086,550010.351,-1.501319529,54.84388116,165,1596875,12950
E63000166,Houghton-le-Spring, , ,433792.3837,549556.8422,-1.475368891,54.83969641,166,3620625,23100
E63000167,Great Lumley, , ,429448.4261,549359.8876,-1.543022945,54.83819979,167,1000000,6650
E63000168,Seaham, , ,441711.3679,549264.2971,-1.352118108,54.83647261,168,5821875,41850
E63000169,Castleside, , ,407837.9805,548719.131,-1.879505947,54.83324108,169,458125,7500
E63000170,Wigton, , ,325624.9229,548308.4345,-3.159139948,54.82407367,170,2158125,22250
E63000171,Burnhope, , ,418856.2565,548028.5843,-1.708022926,54.82674462,171,518125,7500
E63000172,East Rainton, , ,433429.6876,547613.8149,-1.48123971,54.82226055,172,395625,4400
E63000173,Nettlesworth and Kimblesworth, , ,425972.1882,547459.48,-1.597315173,54.82131388,173,316250,6150
E63000174,Lanchester, , ,416587.8108,547452.5133,-1.743364216,54.82164756,174,1137500,11700
E63000175,Sacriston, , ,424119.3045,547229.0657,-1.626170334,54.81933549,175,1308125,12500
E63000176,Hetton-le-Hole, , ,435135.8601,547169.859,-1.454740596,54.81815484,176,2658750,21900
E63000177,Murton (County Durham), , ,439828.4383,547060.4389,-1.381734156,54.8168218,177,1888125,14850
E63000178,West Rainton, , ,431892.6703,546572.0598,-1.505274531,54.81299905,178,745625,11850
E63000179,Alston, , ,371948.8709,546382.7853,-2.43798381,54.81151412,179,439375,7750
E63000180,Easington Lane, , ,436228.8146,546088.5904,-1.437867792,54.80836101,180,770000,7950
E63000181,Witton Gilbert, , ,423470.5268,545793.8402,-1.636382413,54.80646884,181,581875,7850
E63000182,Mellguards, , ,344112.5387,545175.6024,-2.870825772,54.79833083,182,211250,2700
E63000183,South Hetton, , ,438594.6504,545142.6547,-1.401187351,54.79968491,183,702500,11400
E63000184,Langley Park, , ,421325.296,544914.0733,-1.66982052,54.79865831,184,1005000,11150
E63000185,Hetton le Hill, , ,435064.3565,544119.2012,-1.456221292,54.79074649,185,229375,3250
E63000186,High Pittington, , ,432920.6568,544118.9072,-1.489557492,54.79088858,186,340625,6550
E63000187,Easington (County Durham), , ,443009.1023,543807.0848,-1.332723424,54.78732562,187,1651250,21850
E63000188,Haswell, , ,437676.877,543455.5266,-1.415680978,54.78459395,188,365000,7050
E63000189,Allonby, , ,308311.3944,543250.1724,-3.426930704,54.77575985,189,293750,8250
E63000190,Durham, , ,427571.0993,543224.1932,-1.572833105,54.78316972,190,14830000,94250
E63000191,Ushaw Moor and Bearpark, , ,423521.8378,542855.4661,-1.635821399,54.78006139,191,1551875,15700
E63000192,Sherburn (County Durham), , ,431873.8777,542416.6344,-1.506022172,54.77565906,192,740625,6150
E63000193,Sherburn Hill, , ,433532.4946,542390.6394,-1.480242004,54.77531781,193,353125,6550
E63000194,Aspatria, , ,314964.6297,542147.6245,-3.323206814,54.76702689,194,1106250,16350
E63000195,Esh Winning, , ,418944.2365,541912.6908,-1.707050879,54.77178185,195,1118750,12250
E63000196,New Brancepeth, , ,422592.0438,541496.9071,-1.650382112,54.76789544,196,301250,5350
E63000197,Horden, , ,444061.8885,541311.6599,-1.316731537,54.76481103,197,1720625,12650
E63000198,Shadforth, , ,434311.6363,541057.8729,-1.468287368,54.76328896,198,206250,4850
E63000199,Peterlee, , ,441976.7106,540717.1705,-1.349221772,54.75964711,199,8094375,50550
E63000200,Shotton Colliery, , ,439410.3008,540701.0493,-1.389102283,54.75970954,200,1342500,13900
E63000201,High Shincliffe, , ,429830.5356,540001.4492,-1.538033226,54.75408079,201,307500,4450
E63000202,Caldbeck, , ,332240.5311,539798.3119,-3.054199871,54.74855028,202,275000,8250
E63000203,Brandon (County Durham), , ,424487.7694,539789.4082,-1.621061434,54.75246289,203,3215000,28350
E63000204,Thornley, , ,436452.6638,539757.872,-1.435178115,54.75145672,204,671250,9650
E63000205,Lazonby, , ,354733.6495,539608.6024,-2.704764831,54.74938011,205,426250,6950
E63000206,Stanhope, , ,399326.4437,539411.0858,-2.011985933,54.74965357,206,654375,14400
E63000207,Tow Law, , ,411803.9291,539295.2437,-1.81814534,54.74847723,207,680000,15000
E63000208,Blackhall Colliery, , ,445689.7838,539276.3303,-1.291752808,54.74637682,208,983125,13450
E63000209,Bothel, , ,318148.4389,539023.0456,-3.27285431,54.73948443,209,222500,3900
E63000210,Wheatley Hill, , ,437622.1697,538881.9078,-1.417122219,54.74349932,210,783125,9100
E63000211,Crosby (Allerdale), , ,307283.2523,538324.3935,-3.441335499,54.73131923,211,333125,5250
E63000212,Bowburn, , ,430577.1807,538240.5727,-1.526617228,54.73821245,212,1951250,12800
E63000213,Blackhall Rocks, , ,447789.2129,537480.4863,-1.259436454,54.73004499,213,318125,5450
E63000214,Wingate, , ,440424.4927,537465.6301,-1.373791705,54.73055572,214,1644375,20400
E63000215,Billy Row, , ,416363.733,537410.3877,-1.747413821,54.73141232,215,353750,7250
E63000216,Wolsingham, , ,407678.7971,537342.916,-1.882280674,54.73101161,216,883125,12500
E63000217,Croxdale, , ,426779.3099,537339.9018,-1.58568389,54.73033451,217,216875,5400
E63000218,Frosterley, , ,402923.157,536942.9027,-1.956132515,54.72746591,218,246875,5500
E63000219,Eastgate, , ,394595.7016,536939.665,-2.08543411,54.72741438,219,739375,8400
E63000220,Howbeck, , ,334001.2664,536615.7041,-3.026127765,54.72018892,220,899375,5900
E63000221,Maryport, , ,304042.1308,536317.6365,-3.49098676,54.71268278,221,2335625,31800
E63000222,Kelloe, , ,434006.12,536294.9981,-1.473590177,54.72050971,222,375000,6600
E63000223,Trimdon Colliery, , ,438096.0315,535976.1789,-1.410141176,54.71735263,223,470625,10100
E63000224,Coxhoe, , ,431975.0733,535606.8542,-1.505195225,54.71445861,224,1253750,15600
E63000225,Trimdon Grange, , ,437055.0148,535586.8266,-1.426349737,54.71393136,225,288125,4650
E63000226,Dearham, , ,306524.0966,535582.8763,-3.452239447,54.70654961,226,680000,11800
E63000227,Skelton (Eden), , ,343563.3604,535535.9693,-2.877490995,54.71165267,227,238750,5150
E63000228,Crook, , ,416268.8764,535330.3003,-1.749002198,54.71272271,228,2425625,19600
E63000229,Tallentire, , ,310563.803,535182.159,-3.389442209,54.70368448,229,211250,4950
E63000230,Hart, , ,446932.0447,534981.4799,-1.273147309,54.70766982,230,210000,2850
E63000231,Willington (County Durham), , ,420045.1098,534972.3662,-1.690414589,54.70937076,231,1785625,20000
E63000232,Spennymoor, , ,426434.9006,534614.4504,-1.591278115,54.7058608,232,6281250,42950
E63000233,Redmain, , ,313372.6375,534188.2037,-3.345571019,54.69524648,233,205000,2850
E63000234,Cornforth, , ,431267.2603,534143.2795,-1.516338077,54.70135086,234,761250,8550
E63000235,Byers Green, , ,422288.2923,534053.4546,-1.655670362,54.70101919,235,251875,5600
E63000236,Trimdon, , ,436936.9698,533916.3079,-1.428392977,54.69892849,236,693750,5900
E63000237,Langwathby, , ,357130.1051,533710.1065,-2.666666413,54.69658717,237,396875,7800
E63000238,Broughton Moor, , ,305464.8556,533614.2408,-3.468033709,54.68866602,238,264375,4650
E63000239,Flimby, , ,302454.8363,533592.3291,-3.514702657,54.68789459,239,565625,11650
E63000240,Dovenby, , ,309514.5447,533186.7954,-3.405100041,54.68557058,240,264375,7750
E63000241,Hunwick, , ,418960.3943,532713.2816,-1.707395413,54.68911132,241,329375,7300
E63000242,Hartlepool, , ,450620.9268,532453.1772,-1.216340408,54.68459445,242,26716250,119500
